Date,Entertainment,Tech,Pharma
2020-01-06,100.0,100.0,100.0
2020-01-13,101.92201562359892,103.20873993201411,100.55952926241898
2020-01-20,103.75248211344513,104.92654100798921,102.5718870607153
2020-01-27,100.3477908452931,102.75497216475085,99.81347928919979
2020-02-03,99.85355088229325,104.35391754138892,98.20356511107835
2020-02-10,102.85554394712375,109.16162018099757,101.68839125928022
2020-02-17,104.22842699784323,110.15558519534241,102.0221612703196
2020-02-24,99.28608636044004,102.9926575669902,98.33119103228013
2020-03-02,96.13763680382839,100.99397367982306,95.17030677060812
2020-03-09,85.11805598161318,88.76405497240738,90.40932823782877
2020-03-16,75.0137084043211,78.39240474299751,80.21988045516379
2020-03-23,74.0135405703876,76.45592165853094,73.6057252276616
2020-03-30,81.35616454922578,88.94517213279256,87.7606486825136
2020-04-06,82.47588825150667,90.90003469657482,90.08858295701313
2020-04-13,85.6148694965808,92.73540031563138,92.72229845318797
2020-04-20,88.05627805097905,95.38531222237974,98.62099744287977
2020-04-27,90.05713727812885,97.07948253923469,100.19926604618001
2020-05-04,91.54401614509347,97.82882976875999,96.45092125519284
2020-05-11,95.25202521579492,103.61733456128937,99.74549594967868
2020-05-18,96.05973708180149,103.99746309459479,99.87372996554076
2020-05-25,98.59291599218466,104.79024170098485,98.26591124874868
2020-06-01,100.30006583573629,106.36499306241814,100.60369008274854
2020-06-08,103.80617274919652,110.68733360115436,102.50744546171559
2020-06-15,100.9425689387468,109.00400379755916,96.49037345065287
2020-06-22,102.17657604617469,113.1268563620728,98.99918301660641
2020-06-29,98.29551957138341,111.78737273445405,97.46376043437023
2020-07-06,103.57448670542873,116.64437327968594,101.66383738299724
2020-07-13,103.9975299800369,115.26129363111615,100.32656326756543
2020-07-20,106.86694456111869,119.31245669427257,104.87334456500605
2020-07-27,105.28510236395128,116.37211261932796,104.89314872894246
2020-08-03,107.01409421589403,123.22203450870725,105.61629654245594
2020-08-10,109.86510310725797,123.5160801813234,105.05165599789237
2020-08-17,110.17778598430326,124.8446539718566,106.41866922921044
2020-08-24,113.1023955123153,129.54920275867232,105.32902933793775
2020-08-31,116.358049362644,134.54778855262597,107.24085429739674
2020-09-07,113.63581393263517,128.63443154982772,104.70493521408795
2020-09-14,110.38013058600885,125.59607225067772,105.091280760756
2020-09-21,106.77967976459595,122.72004335512065,102.61509465157737
2020-09-28,109.30493154499248,126.73650117798512,103.38083374379723
2020-10-05,110.65049365003705,128.19900859996721,105.71801270063222
2020-10-12,114.13426449212093,134.74757115310825,108.50268358747581
2020-10-19,110.02380056255339,129.77067505115232,105.62849130564334
2020-10-26,111.97765743943819,126.46363393415139,106.03626808033883
2020-11-02,109.06530362308924,121.30120994339364,102.92338220935252
2020-11-09,116.41989572468863,131.7352342850686,110.342556157131
2020-11-16,118.92670494499531,133.557896313047,111.31718398265518
2020-11-23,117.8023134536153,131.05857308689636,107.92585649722027
2020-11-30,120.54877271804843,134.7694081582358,109.13916969440285
2020-12-07,124.23524949148384,137.95638040894818,111.23763040959777
2020-12-14,123.00031325068078,136.15553805514088,110.23313198826081
2020-12-21,122.64282549754356,140.11554028736805,111.25686756635093
2020-12-28,124.52599449717073,142.78481087247155,111.59643091165388
2021-01-04,122.73517103133216,139.91859996374362,112.79475539720988
2021-01-11,122.38437893775573,141.86588889955704,117.77790213587498
2021-01-18,120.53819829534997,139.3934979797304,116.80924021201795
2021-01-25,127.83070069044933,146.52620042003306,118.19731488407004
2021-02-01,125.7813864203765,144.57892014969786,115.31127297385734
2021-02-08,132.3538546941588,149.58932565595072,115.65081166667406
2021-02-15,134.77237412160025,151.61311343353628,117.11880969907695
2021-02-22,133.27697082462208,145.55256461760456,113.98312027832986
2021-03-01,135.51088767337924,147.57642171901597,113.9232147367961
2021-03-08,133.64617598199072,137.65411119749632,112.58505313186006
2021-03-15,138.87092892100185,145.2899919619024,115.231398918479
2021-03-22,140.39240694508027,144.56620789314147,115.91193080079987
2021-03-29,135.06598026815675,144.6868486809929,117.81589983464755
2021-04-05,140.8362967280347,151.59333881222636,117.4451182242847
2021-04-12,141.68705844042455,154.6738816593767,118.31695339973398
2021-04-19,141.31716012006171,155.79207496955817,121.76415163645669
2021-04-26,141.68705844042455,157.2391925022123,123.51780624427755
2021-05-03,143.59194408917793,152.7225199487974,122.96665882717606
2021-05-10,142.00144472865765,148.56763111128518,124.48983734125237
2021-05-17,141.44660462218783,147.97564030085152,123.4777295191664
2021-05-24,144.73864215563663,151.955122528129,124.74035590630017
2021-05-31,145.7188631183014,151.72489810264156,123.85851182144236
2021-06-07,147.2169358302146,153.4679763785996,122.786284802942
2021-06-14,148.58553454370406,157.21728617325897,124.92072993053422
2021-06-21,146.7404083939384,157.4395730206921,125.48869856073854
2021-06-28,151.11301329457126,161.17371822845737,126.64558221694548
2021-07-05,152.18763715778397,164.58940711144604,129.05999741313246
2021-07-12,152.33584130519938,166.1929191951088,129.73402103908916
2021-07-19,147.53710339278214,162.79918863394283,128.0338623263828
2021-07-26,155.50406812936842,169.619595904487,131.41407154052894
2021-08-02,152.3172881339934,167.87331140158562,133.1242473801392
2021-08-09,153.1696131501574,169.5317106243269,134.25096461069865
2021-08-16,154.3924411607855,170.99241562683815,136.02155547655804
2021-08-23,155.13356513490427,173.25493732952836,136.97721732267755
2021-08-30,158.0424457622079,175.39655828002043,136.20261977040647
2021-09-06,158.3574072282447,175.02314549233955,137.67136559489163
2021-09-13,156.5046267892454,172.07970784166855,133.1644884551585
2021-09-20,150.94464842772933,167.6514404971073,132.40206923108403
